12/12/2018 22.21.27,Ingegneria energetica ,Si,Assolutamente si,Non saprei,Il confronto tra stessi argomenti ma spiegati in modo diverso in base al modo di percepirli della persona ,Si,Forum,Si,"Libri, Smartphone",Che mi aiuti nello studio e chiarisca maggiormente dei concetti che possono risultare più difficili ,,
12/12/2018 22.27.09,Psicologia,Si,Assolutamente si,Si,Il fatto che se ognuno partecipa tutti si aiutano. ,Si,Chat,Si,"Libri, Smartphone",Più condivisione e più facilità nel reperire il materiale,,
12/12/2018 22.30.01,Fisica,No,Assolutamente si,No,.,No,Non lo farei,Non saprei,"Libri, Pc","Esporre in modo chiaro appunti su tutti gli argomenti che si presenteranno a un esame, senza basarsi però sugli appunti degli studenti che possono risultare errati o poco chiari quanto da fonti più attendibili quali professori o laureati nella facoltà",,
12/12/2018 22.30.31,Accademia di belle arti,Si,Assolutamente si,No,Non prendo molto appunti ,Si,Forum,Si,Pc,Tanta roba ,,
12/12/2018 22.31.27,Scienze dell'educazione e della formazione,Si,Assolutamente si,Si,La consapevolezza delle difficoltà riscontrate nel richiedere appunti ,Si,Chat,Si,"Libri, Smartphone",Appunti necessari reperibili in modo semplice ,,
12/12/2018 22.35.41,Scienze della formazione e dell’educazione,Si,Assolutamente si,Si,Aiutare gli altri,Si,Chat,Si,Libri,Un’innovazione,,
12/12/2018 22.35.46,Psicologia,No,Assolutamente si,Si,La collaborazione,Si,Chat,Si,Libri,Puntualità e precisione,,
12/12/2018 22.36.24,Scienze dell'educazione e della formazione ,No,Assolutamente si,Si,Aiutare e ricevere aiuto,Si,Chat,Si,Libri,Affidabilità ,,
12/12/2018 22.37.26,Ingegneria Informatica,Si,Assolutamente si,Si,"gli appunti li prendo gia in formato digitale, non mi peserebbe nulla se fate una buona gestione degli upload. mentre nei rari casi che prendo appunti scritti avere una feature che mi permetterebbe di fare foto e uplodare direttamente sopra sarebbe comodissimo, magari anche permettendo di mettere insieme più foto in un unico file. E se la gestione dei tag per la ricerca fosse automatizzata sarebbe perfetto. magari se implementate un sistema OCR sarebbe figo pero dipende da quanti errori fa nella trasformazione  :P",Non saprei,Forum,Si,"Libri, Pc, Smartphone","Facilità d'utilizzo, libreria aggiornata, disponibilità di appunti. La facilità nel trovare qualcosa che cerco, es ci sono corsi con stessi programmi, ma che si chiamano in modo differente. ",,
12/12/2018 22.37.42,Economia,No,Non saprei,Non saprei,-,Si,Chat,Non saprei,Libri,La possibilità di avere maggiori chiarimenti ,,
12/12/2018 22.38.54,Scienze dell'educazione e della formazione ,Si,Assolutamente si,Si,La speranza di ricevere altrettanta collaborazione ,Si,Forum,Si,Libri,Serietà e collaborazione ,,
12/12/2018 22.43.36,Economia ,Si,Assolutamente si,Non saprei,Poter usufruire di altri appunti,Si,Chat,Non saprei,"Libri, Pc, Smartphone, Tablet",Affidabilità,,
12/12/2018 22.47.22,Ingegneria,No,Assolutamente si,Si,Solidarietà ,Si,Forum,No,Libri,La volontà di creare un modo alternativo per studiare,,
12/12/2018 22.50.17,Medicina,No,Assolutamente si,Si,Altruismo,Si,Chat,Si,"Libri, Tablet","Semplificare i passaggi e risparmiare tempo, migliore raggio di condivisione",,
12/12/2018 22.50.34,Architettura,Si,Assolutamente si,Si,La laurea,Si,Chat,Si,"Libri, Pc, Tablet",La laurea,,
12/12/2018 22.57.06,Psicologia,No,Più si che no,Si,Il fatto che posso aiutare gli altri.,Non saprei,Forum,No,"Libri, Pc",Non mi aspetto nulla. ,,
12/12/2018 22.57.17,Farmacia,Si,Assolutamente si,Si,Per condividerli,Si,Forum,Si,Libri,Vantaggi nello studio,,
12/12/2018 22.59.08,Farmacia ,Si,Assolutamente si,Si,Non mi dispiace aiutare gli altri e sopratutto può essere per tutti uno spunto per poter ripassare ,Si,Forum,Si,Libri,Partecipazione da parte di tutti e giusta organizzazione ,,
12/12/2018 23.00.07,Medicina,Si,Assolutamente si,Si,Perché capisco la situazione in cui si trovano ,Si,Chat,Si,"Libri, Pc","Avere appunti, esercizi di cui ho bisogno di tutte le materie, consigli su come preparare e affrontare l'esame, sapere su quali argomenti concentrarmi maggiormente",,
12/12/2018 23.00.09,Farmacia,Si,Assolutamente si,Si,Sapere di fare qualcosa di utile per gli altri,Si,Chat,Si,Libri,Maggiore condivisione degli appunti,,
12/12/2018 23.01.31,SFA,Si,Assolutamente si,Si,Altruismo,Si,Chat,Si,Libri,Efficienza ,,
12/12/2018 23.01.39,Scienze Politiche,No,Assolutamente si,Non saprei,Solidarietà sociale,Si,Forum,No,"Libri, Pc",Di facilitare la reperibilità degli appunti diminuendo le spese su libri o altri appunti e incoraggiando la socialità tra studenti,,
12/12/2018 23.01.45,Ingegneria Gestionale,No,Assolutamente si,Non saprei,Amor comune,Non saprei,Chat,Non saprei,Libri,Facile da usare ,,
12/12/2018 23.03.15,Medicina,Si,Assolutamente si,Non saprei,Non so,Si,Chat,Si,Libri,Non so,,
12/12/2018 23.03.48,Medicina e Chirurgia,Si,Assolutamente si,Si,Lo stesso in cambio,Si,Chat,Si,"Libri, Smartphone",Maggior opportunità di confronto,,
12/12/2018 23.04.30,medicina,Si,Assolutamente si,Si,condivisione,Si,Chat,Si,"Libri, Pc, Smartphone",facilità a trovare appunti,,
12/12/2018 23.04.48,Ingegneria gestionale ,Si,Assolutamente si,Non saprei,Aiutare gli altri,Si,Forum,No,Libri,Esercizi utili,,
12/12/2018 23.06.03,Ingegneria,No,Assolutamente si,Si,Più siamo meglio è,Non saprei,Forum,Si,"Pc, Smartphone, Tablet","Una buona catalogazione, un incentivo a condividere appunti ed un sistema per dare votazioni",,
12/12/2018 23.06.24,Ingegneria gestionale,No,Assolutamente si,Si,Aiuto reciproco,Si,Forum,Si,Libri,Di avere il materiale sufficiente a passare gli esami ,,
12/12/2018 23.06.51,Ingegneria gestionale ,Si,Assolutamente si,Non saprei,Vorrei aiutare gli altri come vorrei essere aiutato io,Si,Chat,Non saprei,"Libri, Pc",Una migliore reperibilità delle Informazioni ,,
12/12/2018 23.07.04,Farmacia e medicina,Si,Assolutamente si,Si,È sempre un piacere aiutare il prossimo,Si,Chat,Si,"Libri, Smartphone",Che aiuti molti studenti,,
12/12/2018 23.07.14,Ingegneria ,Si,Assolutamente si,Non saprei,I,Si,Chat,Si,"Libri, Pc",I,,
12/12/2018 23.07.43,Ingegneria Gestionale,No,Più si che no,Si,Non ci perdo niente + gloria eterna,Si,Chat,Si,"Libri, Pc, Smartphone",Mi pare un'idea promettente,,
12/12/2018 23.08.09,Medicina,No,Assolutamente si,Non saprei,Poter usufruire degli appunti degli altri,Si,Forum,Si,Libri, Che renda più semplice la condivisione degli appunti,,
12/12/2018 23.08.20,Ingegneria,No,Assolutamente si,Si,"La possibilità di avere più versioni possibili dei concetti espressi, quindi migliori probabilità di comprendere con facilità la materia. Senza dover attenersi solo a slide poco specifiche e libri troppo specifici",Si,Chat,No,"Libri, Pc, Smartphone",Che sia legale(?),,
12/12/2018 23.08.22,Farmacia,Si,Assolutamente si,Si,Poterne ricevere altri,Si,Forum,Si,Libri,Possibilità di studiare meglio,,
12/12/2018 23.10.07,Medicina e chirurgia,Si,Assolutamente si,Si,Aiuto,Si,Forum,Si,"Libri, Pc",Aiuto,,
12/12/2018 23.10.21,Ing.Elettrotecnica,No,Assolutamente si,Si,"Buonsenso, se avessi trovato io un servizio del genere quando ho cominciato sarebbe stato diverso. Meno tempo perso.",Si,Forum,Si,"Pc, Tablet","Efficienza, soprattutto ottima gestione, e se funziona mi aspetto che l'impatto al carico universitario (rispetto alle superiori) per i nuovi studenti sia ridotto di molto.",,
12/12/2018 23.10.25,Ignegneria Gestionale,Si,Assolutamente si,Si,Mantenere il servizio attivo e ricambiare l’aiuto che gli altri danno a me pubblicando i loro,Non saprei,Chat,Si,"Libri, Pc",Rapidità di risposta e un vasto database di appunti ,,
12/12/2018 23.11.27,Medicina ,Si,Assolutamente si,Si,Aiutare gli altri in modo tale da poter essere aiutato quando mi trovo nella stessa situazione,Si,Chat,Non saprei,"Libri, Pc, Smartphone","Utilizzo semplice e chiaro per trovare subito quello che cerchi (il sito di e-learning è impossibile da utilizzare, pur di non perdere tempo preferisco non scaricare le slide)",,
12/12/2018 23.11.55,Fisica,No,Assolutamente si,Si,La conoscenza è pubblica,Non saprei,Forum,Si,"Libri, Pc",Semplicità e risorse,,
12/12/2018 23.12.15,Ingegneria ,Si,Assolutamente si,Si,Per avere esami con più facilità da prepare e metterci meno tempo! ,Si,Chat,Si,"Libri, Pc",Efficienza in tempo e qualità ,,
12/12/2018 23.12.39,Farmacia,Si,Assolutamente si,Si,Migliorare i risultati degli esami ed ottimizzare i tempi per prepararli,Non saprei,Forum,Non saprei,"Libri, Pc",Maggior numero possibile di materiale su cui studiare,,
12/12/2018 23.13.11,Medicina,No,Più si che no,Non saprei,La consapevolezza che può aiutare,Si,Forum,Si,"Libri, Tablet",Che aiuti,,
12/12/2018 23.13.14,Farmacia,Si,Assolutamente si,Si,Il confronto con gli altri,Si,Chat,Si,"Libri, Tablet",Praticità,,
